year,permit_type,occupation_field,occupation_category,occupation_group,number_granted_applications
2018,first-time,Occupations requiring short training or introduction,Manufacturing & factory work,Hand packers and other factory workers,24
2018,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Launderers, window cleaners and other cleaners",92
2018,first-time,Occupations requiring short training or introduction,"Sales, retail & marketing",Market sellers,3
2018,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Newspaper carriers, janitors and other service workers",172
2018,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Recycling workers,9
2018,first-time,Occupations requiring short training or introduction,Total,Total,7036
2018,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Alternative medicine therapists,4
2018,first-time,Occupations requiring university competence or equivalent,Personal services & sports,Athletes and recreation leaders,15
2018,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Bank tellers and accounting clerks,19
2018,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,"Biomedical analysts, dental technicians and lab engineers",14
2018,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing",Brokers and agents,12
2018,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Dental hygienists,1
2018,first-time,Occupations requiring university competence or equivalent,Education,Driving instructors,4
2018,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Engineers and technicians,656
2018,first-time,Occupations requiring university competence or equivalent,Hospitality & food service,Head chefs and sous chefs,12
2018,first-time,Occupations requiring university competence or equivalent,IT & software,"IT operations, support and network technicians",480
2018,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Image, sound and lighting technicians",11
2018,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing","Insurance advisors, business sales and buyers",146
2018,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Legal and executive secretaries,10
2018,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Photographers, decorators and entertainers",89
2018,first-time,Occupations requiring university competence or equivalent,Transport & logistics,Pilots and ship/engine officers,2
2018,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Supervisors in construction and manufacturing,14
2018,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Tax and social-insurance officers,18
2018,first-time,Occupations requiring university competence or equivalent,Total,Total,1524
2018,first-time,Occupations requiring university competence or equivalent,Religion & social work,Treatment assistants and clergy,15
2018,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Veterinary assistants,2
2018,first-time,Other,Unknown / other,Other,69
2018,first-time,Other,Total,Total,69
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,Assemblers,119
2018,first-time,Plant/machine operators and transport,Transport & logistics,"Car, motorcycle and bicycle drivers",20
2018,first-time,Plant/machine operators and transport,Construction trades,Heavy equipment operators,27
2018,first-time,Plant/machine operators and transport,Transport & logistics,Lorry and bus drivers,63
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, chemical and pharma products",2
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, food industry",23
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, rubber/plastic/paper",8
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, textile/laundry/leather",21
2018,first-time,Plant/machine operators and transport,Engineering professionals,Operations technicians and process supervisors,2
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,Ore processing and well drillers,11
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,Other process and machine operators,16
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process and machine operators, steel and metal works",12
2018,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process operators, wood and paper industry",2
2018,first-time,Plant/machine operators and transport,Total,Total,327
2018,first-time,Plant/machine operators and transport,Transport & logistics,Train drivers and railway-yard staff (SSYK96),1
2018,first-time,"Service, care and sales workers",Care & nursing aides,Assistant nurses,63
2018,first-time,"Service, care and sales workers",Personal services & sports,Beauticians and body therapists,177
2018,first-time,"Service, care and sales workers",Transport & logistics,"Cabin crew, conductors and guides",1
2018,first-time,"Service, care and sales workers",Care & nursing aides,Care workers and personal assistants,257
2018,first-time,"Service, care and sales workers","Sales, retail & marketing",Cashiers,16
2018,first-time,"Service, care and sales workers",Education,Childcare workers and teaching assistants,28
2018,first-time,"Service, care and sales workers",Cleaning & building maintenance,Cleaning supervisors and building caretakers,62
2018,first-time,"Service, care and sales workers",Hospitality & food service,Cooks and cold-buffet chefs,1085
2018,first-time,"Service, care and sales workers",Care & nursing aides,Dental nurses,15
2018,first-time,"Service, care and sales workers","Sales, retail & marketing",Event and telephone salespersons,4
2018,first-time,"Service, care and sales workers",Hospitality & food service,"Head waiters, waiters and bartenders",78
2018,first-time,"Service, care and sales workers",Care & nursing aides,Nursing aides,41
2018,first-time,"Service, care and sales workers",Military & security,Other security and protective service workers,2
2018,first-time,"Service, care and sales workers",Unknown / other,Other service staff,21
2018,first-time,"Service, care and sales workers","Sales, retail & marketing",Shop sales staff,120
2018,first-time,"Service, care and sales workers",Total,Total,1970
2019,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Animal breeders and keepers,38
2019,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries","Crop growers, agriculture and horticulture",197
2019,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Fish farmers and fishers,1
2019,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Forestry workers,531
2019,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Mixed crop and animal producers,20
2019,first-time,"Agriculture, horticulture, forestry and fisheries",Total,Total,787
2019,first-time,Clerical support and customer service,Unknown / other,Croupiers and debt collectors,6
2019,first-time,Clerical support and customer service,"Arts, media & culture",Library and archive assistants,1
2019,first-time,Clerical support and customer service,"Business, finance & legal",Office assistants and secretaries,167
2019,first-time,Clerical support and customer service,Transport & logistics,Postal carriers and sorting workers,7
2019,first-time,Clerical support and customer service,Total,Total,411
2019,first-time,Clerical support and customer service,"Sales, retail & marketing","Travel agents, customer service and receptionists",43
2019,first-time,Clerical support and customer service,Transport & logistics,Warehouse and transport staff,187
2019,first-time,Construction and manufacturing trades,Manufacturing & factory work,Blacksmiths and toolmakers,38
2019,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Butchers, bakers and food processors",94
2019,first-time,Construction and manufacturing trades,Construction trades,"Carpenters, masons and construction workers",699
2019,first-time,Construction and manufacturing trades,Construction trades,"Casters, welders and sheet-metal workers",153
2019,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Electronics and communications repairers,18
2019,first-time,Construction and manufacturing trades,Construction trades,Installation and industrial electricians,72
2019,first-time,Construction and manufacturing trades,Construction trades,"Painters, lacquerers and chimney sweeps",131
2019,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Precision mechanics and craft workers,7
2019,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Prepress technicians, printers and bookbinders",2
2019,first-time,Construction and manufacturing trades,Construction trades,"Roofers, floor layers and plumbers",117
2019,first-time,Construction and manufacturing trades,Construction trades,Surface finishers and furniture makers,30
2019,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Tailors, upholsterers and leather workers",19
2019,first-time,Construction and manufacturing trades,Total,Total,1579
2019,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Vehicle mechanics and repairers,199
2019,first-time,Managers,"Business, finance & legal",Administration and planning managers,6
2019,first-time,Managers,General management,CEOs and managing directors,37
2019,first-time,Managers,"Sales, retail & marketing",Communications and PR managers,9
2019,first-time,Managers,"Business, finance & legal",Finance managers,33
2019,first-time,Managers,"Business, finance & legal",HR managers,20
2019,first-time,Managers,Hospitality & food service,Hotel and conference managers,2
2019,first-time,Managers,IT & software,IT managers,46
2019,first-time,Managers,Engineering professionals,Managers in architecture and engineering,15
2019,first-time,Managers,"Business, finance & legal","Managers in banking, finance and insurance",4
2019,first-time,Managers,General management,Managers in other service industries,7
2019,first-time,Managers,Education,"Managers in primary, secondary and adult education",1
2019,first-time,Managers,"Sales, retail & marketing",Managers in retail and wholesale,4
2019,first-time,Managers,Engineering professionals,Operations managers in construction and mining,7
2019,first-time,Managers,General management,Other administration and service managers,47
2019,first-time,Managers,Education,Other managers in education,1
2019,first-time,Managers,General management,Politicians and senior civil servants,3
2019,first-time,Managers,Engineering professionals,Production managers in manufacturing,13
2019,first-time,Managers,Transport & logistics,"Purchasing, logistics and transport managers",20
2019,first-time,Managers,Engineering professionals,R&D managers,22
2019,first-time,Managers,Hospitality & food service,Restaurant and kitchen managers,32
2019,first-time,Managers,"Sales, retail & marketing",Sales and marketing managers,79
2019,first-time,Managers,Total,Total,408
2019,first-time,Military occupations,Military & security,Specialist officers,4
2019,first-time,Military occupations,Total,Total,4
2019,first-time,Occupations requiring advanced university competence,Engineering professionals,Architects and surveyors,16
2019,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Artists, musicians and actors",28
2019,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Auditors, financial analysts and fund managers",268
2019,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Authors, journalists and interpreters",15
2019,first-time,Occupations requiring advanced university competence,Natural sciences (research),"Biologists, pharmacologists and agriculture/forestry specialists",23
2019,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Curators and librarians,4
2019,first-time,Occupations requiring advanced university competence,Doctors & dentists,Dentists,8
2019,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Designers,107
2019,first-time,Occupations requiring advanced university competence,Doctors & dentists,Doctors / physicians,57
2019,first-time,Occupations requiring advanced university competence,Engineering professionals,Engineering professionals,1003
2019,first-time,Occupations requiring advanced university competence,Natural sciences (research),Environmental and health protection specialists,13
2019,first-time,Occupations requiring advanced university competence,IT & software,"IT architects, developers and test leads",4347
2019,first-time,Occupations requiring advanced university competence,"Business, finance & legal",Lawyers,27
2019,first-time,Occupations requiring advanced university competence,"Sales, retail & marketing",Marketers and communicators,135
2019,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Mathematicians, actuaries and statisticians",8
2019,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses,62
2019,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses (continued),1
2019,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Organisational developers, analysts and HR specialists",124
2019,first-time,Occupations requiring advanced university competence,Nurses & allied health,Other health specialists,13
2019,first-time,Occupations requiring advanced university competence,Education,Other teaching professionals,13
2019,first-time,Occupations requiring advanced university competence,Natural sciences (research),Physicists and chemists,25
2019,first-time,Occupations requiring advanced university competence,Religion & social work,Priests and deacons,10
2019,first-time,Occupations requiring advanced university competence,Education,"Primary, after-school and preschool teachers",149
2019,first-time,Occupations requiring advanced university competence,Nurses & allied health,Psychologists and psychotherapists,1
2019,first-time,Occupations requiring advanced university competence,Education,Secondary education teachers,7
2019,first-time,Occupations requiring advanced university competence,Religion & social work,Social workers and counsellors,2
2019,first-time,Occupations requiring advanced university competence,Total,Total,6547
2019,first-time,Occupations requiring advanced university competence,Education,University and college teachers,74
2019,first-time,Occupations requiring advanced university competence,Doctors & dentists,Veterinarians,1
2019,first-time,Occupations requiring advanced university competence,Education,Vocational teachers,6
2019,first-time,Occupations requiring short training or introduction,"Agriculture, forestry & fisheries",Berry pickers and planters,6162
2019,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Cleaners and domestic helpers,734
2019,first-time,Occupations requiring short training or introduction,Construction trades,Construction labourers,30
2019,first-time,Occupations requiring short training or introduction,Transport & logistics,Dockworkers and ramp staff,23
2019,first-time,Occupations requiring short training or introduction,Hospitality & food service,"Fast food, kitchen and restaurant helpers",1141
2019,first-time,Occupations requiring short training or introduction,Manufacturing & factory work,Hand packers and other factory workers,32
2019,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Launderers, window cleaners and other cleaners",78
2019,first-time,Occupations requiring short training or introduction,"Sales, retail & marketing",Market sellers,4
2019,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Newspaper carriers, janitors and other service workers",203
2019,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Recycling workers,7
2019,first-time,Occupations requiring short training or introduction,Total,Total,8414
2019,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Alternative medicine therapists,4
2019,first-time,Occupations requiring university competence or equivalent,Personal services & sports,Athletes and recreation leaders,11
2019,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Bank tellers and accounting clerks,9
2019,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,"Biomedical analysts, dental technicians and lab engineers",24
2019,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing",Brokers and agents,11
2019,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Dental hygienists,1
2019,first-time,Occupations requiring university competence or equivalent,Education,Driving instructors,5
2019,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Engineers and technicians,921
2019,first-time,Occupations requiring university competence or equivalent,Hospitality & food service,Head chefs and sous chefs,8
2019,first-time,Occupations requiring university competence or equivalent,IT & software,"IT operations, support and network technicians",509
2019,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Image, sound and lighting technicians",5
2019,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing","Insurance advisors, business sales and buyers",141
2019,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Legal and executive secretaries,12
2019,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Photographers, decorators and entertainers",32
2019,first-time,Occupations requiring university competence or equivalent,Transport & logistics,Pilots and ship/engine officers,9
2019,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Supervisors in construction and manufacturing,10
2019,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Tax and social-insurance officers,21
2019,first-time,Occupations requiring university competence or equivalent,Total,Total,1745
2019,first-time,Occupations requiring university competence or equivalent,Religion & social work,Treatment assistants and clergy,11
2019,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Veterinary assistants,1
2019,first-time,Other,Unknown / other,Other,24
2019,first-time,Other,Total,Total,24
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,Assemblers,189
2019,first-time,Plant/machine operators and transport,Transport & logistics,"Car, motorcycle and bicycle drivers",27
2019,first-time,Plant/machine operators and transport,Construction trades,Heavy equipment operators,24
2019,first-time,Plant/machine operators and transport,Transport & logistics,Lorry and bus drivers,19
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, chemical and pharma products",3
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, food industry",27
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, rubber/plastic/paper",7
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, textile/laundry/leather",5
2019,first-time,Plant/machine operators and transport,Engineering professionals,Operations technicians and process supervisors,9
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,Ore processing and well drillers,7
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,Other process and machine operators,5
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process and machine operators, steel and metal works",11
2019,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process operators, wood and paper industry",1
2019,first-time,Plant/machine operators and transport,Transport & logistics,Sailors and deckhands,1
2019,first-time,Plant/machine operators and transport,Total,Total,335
2019,first-time,"Service, care and sales workers",Care & nursing aides,Assistant nurses,43
2019,first-time,"Service, care and sales workers",Personal services & sports,Beauticians and body therapists,162
2019,first-time,"Service, care and sales workers",Transport & logistics,"Cabin crew, conductors and guides",1
2019,first-time,"Service, care and sales workers",Care & nursing aides,Care workers and personal assistants,150
2019,first-time,"Service, care and sales workers","Sales, retail & marketing",Cashiers,18
2019,first-time,"Service, care and sales workers",Education,Childcare workers and teaching assistants,24
2019,first-time,"Service, care and sales workers",Cleaning & building maintenance,Cleaning supervisors and building caretakers,38
2019,first-time,"Service, care and sales workers",Hospitality & food service,Cooks and cold-buffet chefs,1045
2019,first-time,"Service, care and sales workers",Care & nursing aides,Dental nurses,13
2019,first-time,"Service, care and sales workers","Sales, retail & marketing",Event and telephone salespersons,5
2019,first-time,"Service, care and sales workers",Hospitality & food service,"Head waiters, waiters and bartenders",71
2019,first-time,"Service, care and sales workers",Care & nursing aides,Nursing aides,22
2019,first-time,"Service, care and sales workers",Military & security,Other security and protective service workers,6
2019,first-time,"Service, care and sales workers",Unknown / other,Other service staff,8
2019,first-time,"Service, care and sales workers",Unknown / other,Service occupations (transitional),1
2019,first-time,"Service, care and sales workers","Sales, retail & marketing",Shop sales staff,89
2019,first-time,"Service, care and sales workers",Total,Total,1696
2020,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Animal breeders and keepers,20
2020,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries","Crop growers, agriculture and horticulture",343
2020,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Forestry workers,777
2020,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Mixed crop and animal producers,30
2020,first-time,"Agriculture, horticulture, forestry and fisheries",Total,Total,1170
2020,first-time,Clerical support and customer service,Unknown / other,Croupiers and debt collectors,5
2020,first-time,Clerical support and customer service,"Business, finance & legal",Office assistants and secretaries,115
2020,first-time,Clerical support and customer service,Transport & logistics,Postal carriers and sorting workers,9
2020,first-time,Clerical support and customer service,Total,Total,323
2020,first-time,Clerical support and customer service,"Sales, retail & marketing","Travel agents, customer service and receptionists",45
2020,first-time,Clerical support and customer service,Transport & logistics,Warehouse and transport staff,149
2020,first-time,Construction and manufacturing trades,Manufacturing & factory work,Blacksmiths and toolmakers,28
2020,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Butchers, bakers and food processors",65
2020,first-time,Construction and manufacturing trades,Construction trades,"Carpenters, masons and construction workers",481
2020,first-time,Construction and manufacturing trades,Construction trades,"Casters, welders and sheet-metal workers",63
2020,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Electronics and communications repairers,7
2020,first-time,Construction and manufacturing trades,Construction trades,Installation and industrial electricians,230
2020,first-time,Construction and manufacturing trades,Construction trades,"Painters, lacquerers and chimney sweeps",129
2020,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Precision mechanics and craft workers,5
2020,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Prepress technicians, printers and bookbinders",2
2020,first-time,Construction and manufacturing trades,Construction trades,"Roofers, floor layers and plumbers",96
2020,first-time,Construction and manufacturing trades,Construction trades,Surface finishers and furniture makers,16
2020,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Tailors, upholsterers and leather workers",9
2020,first-time,Construction and manufacturing trades,Total,Total,1272
2020,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Vehicle mechanics and repairers,141
2020,first-time,Managers,"Business, finance & legal",Administration and planning managers,10
2020,first-time,Managers,General management,CEOs and managing directors,24
2020,first-time,Managers,"Sales, retail & marketing",Communications and PR managers,9
2020,first-time,Managers,"Business, finance & legal",Finance managers,17
2020,first-time,Managers,"Agriculture, forestry & fisheries",Forestry and agriculture managers,1
2020,first-time,Managers,"Business, finance & legal",HR managers,25
2020,first-time,Managers,IT & software,IT managers,52
2020,first-time,Managers,Engineering professionals,Managers in architecture and engineering,8
2020,first-time,Managers,"Business, finance & legal","Managers in banking, finance and insurance",2
2020,first-time,Managers,General management,Managers in other service industries,8
2020,first-time,Managers,"Sales, retail & marketing",Managers in retail and wholesale,4
2020,first-time,Managers,Engineering professionals,Operations managers in construction and mining,1
2020,first-time,Managers,General management,Other administration and service managers,38
2020,first-time,Managers,General management,Other managers in public services,1
2020,first-time,Managers,General management,Politicians and senior civil servants,5
2020,first-time,Managers,Engineering professionals,Production managers in manufacturing,6
2020,first-time,Managers,"Business, finance & legal",Property and administration managers,1
2020,first-time,Managers,Transport & logistics,"Purchasing, logistics and transport managers",13
2020,first-time,Managers,Engineering professionals,R&D managers,11
2020,first-time,Managers,Hospitality & food service,Restaurant and kitchen managers,30
2020,first-time,Managers,"Sales, retail & marketing",Sales and marketing managers,58
2020,first-time,Managers,Total,Total,324
2020,first-time,Military occupations,Military & security,Officers,1
2020,first-time,Military occupations,Military & security,Soldiers,7
2020,first-time,Military occupations,Total,Total,8
2020,first-time,Occupations requiring advanced university competence,Engineering professionals,Architects and surveyors,18
2020,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Artists, musicians and actors",49
2020,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Auditors, financial analysts and fund managers",138
2020,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Authors, journalists and interpreters",9
2020,first-time,Occupations requiring advanced university competence,Natural sciences (research),"Biologists, pharmacologists and agriculture/forestry specialists",31
2020,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Curators and librarians,1
2020,first-time,Occupations requiring advanced university competence,Doctors & dentists,Dentists,10
2020,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Designers,90
2020,first-time,Occupations requiring advanced university competence,Doctors & dentists,Doctors / physicians,72
2020,first-time,Occupations requiring advanced university competence,Engineering professionals,Engineering professionals,609
2020,first-time,Occupations requiring advanced university competence,Natural sciences (research),Environmental and health protection specialists,9
2020,first-time,Occupations requiring advanced university competence,IT & software,"IT architects, developers and test leads",2511
2020,first-time,Occupations requiring advanced university competence,"Business, finance & legal",Lawyers,32
2020,first-time,Occupations requiring advanced university competence,"Sales, retail & marketing",Marketers and communicators,111
2020,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Mathematicians, actuaries and statisticians",9
2020,first-time,Occupations requiring advanced university competence,Nurses & allied health,"Naprapaths, physiotherapists and occupational therapists",2
2020,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses,36
2020,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses (continued),1
2020,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Organisational developers, analysts and HR specialists",71
2020,first-time,Occupations requiring advanced university competence,Nurses & allied health,Other health specialists,10
2020,first-time,Occupations requiring advanced university competence,Education,Other teaching professionals,6
2020,first-time,Occupations requiring advanced university competence,Natural sciences (research),Physicists and chemists,28
2020,first-time,Occupations requiring advanced university competence,Religion & social work,Priests and deacons,8
2020,first-time,Occupations requiring advanced university competence,Education,"Primary, after-school and preschool teachers",104
2020,first-time,Occupations requiring advanced university competence,Nurses & allied health,Psychologists and psychotherapists,1
2020,first-time,Occupations requiring advanced university competence,Education,Secondary education teachers,8
2020,first-time,Occupations requiring advanced university competence,Total,Total,4037
2020,first-time,Occupations requiring advanced university competence,Education,University and college teachers,60
2020,first-time,Occupations requiring advanced university competence,Doctors & dentists,Veterinarians,2
2020,first-time,Occupations requiring advanced university competence,Education,Vocational teachers,1
2020,first-time,Occupations requiring short training or introduction,"Agriculture, forestry & fisheries",Berry pickers and planters,3490
2020,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Cleaners and domestic helpers,628
2020,first-time,Occupations requiring short training or introduction,Construction trades,Construction labourers,35
2020,first-time,Occupations requiring short training or introduction,Transport & logistics,Dockworkers and ramp staff,44
2020,first-time,Occupations requiring short training or introduction,Hospitality & food service,"Fast food, kitchen and restaurant helpers",994
2020,first-time,Occupations requiring short training or introduction,Manufacturing & factory work,Hand packers and other factory workers,24
2020,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Launderers, window cleaners and other cleaners",69
2020,first-time,Occupations requiring short training or introduction,"Sales, retail & marketing",Market sellers,1
2020,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,"Newspaper carriers, janitors and other service workers",110
2020,first-time,Occupations requiring short training or introduction,Cleaning & building maintenance,Recycling workers,14
2020,first-time,Occupations requiring short training or introduction,Total,Total,5409
2020,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Alternative medicine therapists,2
2020,first-time,Occupations requiring university competence or equivalent,Personal services & sports,Athletes and recreation leaders,18
2020,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Bank tellers and accounting clerks,15
2020,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,"Biomedical analysts, dental technicians and lab engineers",23
2020,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing",Brokers and agents,12
2020,first-time,Occupations requiring university competence or equivalent,Education,Driving instructors,2
2020,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Engineers and technicians,667
2020,first-time,Occupations requiring university competence or equivalent,Hospitality & food service,Head chefs and sous chefs,6
2020,first-time,Occupations requiring university competence or equivalent,IT & software,"IT operations, support and network technicians",307
2020,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Image, sound and lighting technicians",4
2020,first-time,Occupations requiring university competence or equivalent,"Sales, retail & marketing","Insurance advisors, business sales and buyers",147
2020,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Legal and executive secretaries,17
2020,first-time,Occupations requiring university competence or equivalent,"Arts, media & culture","Photographers, decorators and entertainers",55
2020,first-time,Occupations requiring university competence or equivalent,Transport & logistics,Pilots and ship/engine officers,13
2020,first-time,Occupations requiring university competence or equivalent,Engineering professionals,Supervisors in construction and manufacturing,6
2020,first-time,Occupations requiring university competence or equivalent,"Business, finance & legal",Tax and social-insurance officers,17
2020,first-time,Occupations requiring university competence or equivalent,Total,Total,1325
2020,first-time,Occupations requiring university competence or equivalent,Religion & social work,Treatment assistants and clergy,11
2020,first-time,Occupations requiring university competence or equivalent,Nurses & allied health,Veterinary assistants,3
2020,first-time,Other,Unknown / other,Other,50
2020,first-time,Other,Total,Total,50
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,Assemblers,56
2020,first-time,Plant/machine operators and transport,Transport & logistics,"Car, motorcycle and bicycle drivers",19
2020,first-time,Plant/machine operators and transport,Construction trades,Heavy equipment operators,30
2020,first-time,Plant/machine operators and transport,Transport & logistics,Lorry and bus drivers,19
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, food industry",30
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, rubber/plastic/paper",9
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Machine operators, textile/laundry/leather",7
2020,first-time,Plant/machine operators and transport,Engineering professionals,Operations technicians and process supervisors,11
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,Ore processing and well drillers,5
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,Other process and machine operators,2
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process and machine operators, steel and metal works",8
2020,first-time,Plant/machine operators and transport,Manufacturing & factory work,"Process operators, wood and paper industry",6
2020,first-time,Plant/machine operators and transport,Total,Total,202
2020,first-time,"Service, care and sales workers",Care & nursing aides,Assistant nurses,50
2020,first-time,"Service, care and sales workers",Personal services & sports,Beauticians and body therapists,97
2020,first-time,"Service, care and sales workers",Care & nursing aides,Care workers and personal assistants,129
2020,first-time,"Service, care and sales workers","Sales, retail & marketing",Cashiers,15
2020,first-time,"Service, care and sales workers",Education,Childcare workers and teaching assistants,16
2020,first-time,"Service, care and sales workers",Cleaning & building maintenance,Cleaning supervisors and building caretakers,45
2020,first-time,"Service, care and sales workers",Hospitality & food service,Cooks and cold-buffet chefs,547
2020,first-time,"Service, care and sales workers",Care & nursing aides,Dental nurses,16
2020,first-time,"Service, care and sales workers","Sales, retail & marketing",Event and telephone salespersons,3
2020,first-time,"Service, care and sales workers",Hospitality & food service,"Head waiters, waiters and bartenders",42
2020,first-time,"Service, care and sales workers",Care & nursing aides,Nursing aides,43
2020,first-time,"Service, care and sales workers",Military & security,Other security and protective service workers,6
2020,first-time,"Service, care and sales workers",Unknown / other,Other service staff,11
2020,first-time,"Service, care and sales workers","Sales, retail & marketing",Shop sales staff,91
2020,first-time,"Service, care and sales workers",Total,Total,1111
